name	Consensus	Consensus2	LEVEL-1	LEVEL-2
prokASV_100	Candidatus_Actinomarina	Candidatus_Actinomarina	Actinobacteria	Actinomarinales
prokASV_1321	Candidatus_Actinomarina	Candidatus_Actinomarina	Actinobacteria	Actinomarinales
prokASV_1486	Candidatus_Actinomarina	Candidatus_Actinomarina	Actinobacteria	Actinomarinales
prokASV_176	Candidatus_Actinomarina	Candidatus_Actinomarina	Actinobacteria	Actinomarinales
prokASV_1927	Candidatus_Actinomarina	Candidatus_Actinomarina	Actinobacteria	Actinomarinales
prokASV_1933	Candidatus_Actinomarina	Candidatus_Actinomarina	Actinobacteria	Actinomarinales
prokASV_209	Candidatus_Actinomarina	Candidatus_Actinomarina	Actinobacteria	Actinomarinales
prokASV_2162	Candidatus_Actinomarina	Candidatus_Actinomarina	Actinobacteria	Actinomarinales
prokASV_257	Candidatus_Actinomarina	Candidatus_Actinomarina	Actinobacteria	Actinomarinales
prokASV_295	Candidatus_Actinomarina	Candidatus_Actinomarina	Actinobacteria	Actinomarinales
prokASV_324	Candidatus_Actinomarina	Candidatus_Actinomarina	Actinobacteria	Actinomarinales
prokASV_47	Candidatus_Actinomarina	Candidatus_Actinomarina	Actinobacteria	Actinomarinales
prokASV_498	Candidatus_Actinomarina	Candidatus_Actinomarina	Actinobacteria	Actinomarinales
prokASV_577	Candidatus_Actinomarina	Candidatus_Actinomarina	Actinobacteria	Actinomarinales
prokASV_670	Candidatus_Actinomarina	Candidatus_Actinomarina	Actinobacteria	Actinomarinales
prokASV_78	Candidatus_Actinomarina	Candidatus_Actinomarina	Actinobacteria	Actinomarinales
prokASV_850	Candidatus_Actinomarina	Candidatus_Actinomarina	Actinobacteria	Actinomarinales
prokASV_1602	Other_Actinobacteria	Other	Actinobacteria	Microtrichales
prokASV_2174	Other_Actinobacteria	Other	Actinobacteria	Microtrichales
prokASV_3123	Other_Actinobacteria	Other	Actinobacteria	Microtrichales
prokASV_20	Other_Actinobacteria	Other	Actinobacteria	Corynebacteriales
prokASV_2	Other_Actinobacteria	Other	Actinobacteria	Corynebacteriales
prokASV_277	Other_Actinobacteria	Other	Actinobacteria	Micrococcales
prokASV_630	Other_Actinobacteria	Other	Actinobacteria	Micrococcales
prokASV_1906	Other_Actinobacteria	Other	Actinobacteria	PeM15
prokASV_3314	Other_Actinobacteria	Other	Actinobacteria	PeM16
prokASV_6	Other_Actinobacteria	Other	Actinobacteria	Propionibacteriales
prokASV_1833	Other_Bacteroidetes	Other	Bacteroidetes	Chitinophagales
prokASV_27	Other_Bacteroidetes	Other	Bacteroidetes	Chitinophagales
prokASV_1538	Other_Bacteroidetes	Other	Bacteroidetes	Cytophagales
prokASV_1731	Other_Bacteroidetes	Other	Bacteroidetes	Cytophagales
prokASV_1930	Other_Bacteroidetes	Other	Bacteroidetes	Cytophagales
prokASV_412	Other_Bacteroidetes	Other	Bacteroidetes	Cytophagales
prokASV_623	Other_Bacteroidetes	Other	Bacteroidetes	Cytophagales
prokASV_716	Other_Bacteroidetes	Other	Bacteroidetes	Cytophagales
prokASV_913	Other_Bacteroidetes	Other	Bacteroidetes	Cytophagales
prokASV_508	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_553	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_1593	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_2158	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_3085	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_4418	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_473	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_992	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_113	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_315	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_185	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_1562	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_2111	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_299	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_6063	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_7484	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_859	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_236	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_49	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_251	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_29	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_126	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_151	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_1694	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_186	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_4884	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_5597	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_75	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_117	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_1494	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_1778	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_1965	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_247	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_372	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_535	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_605	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_938	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_1045	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_1105	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_1112	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_1278	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_1452	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_1478	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_1585	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_1743	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_1949	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_2094	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_2147	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_2257	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_2362	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_2777	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_3150	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_3385	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_3425	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_3505	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_386	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_3975	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_441	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_485	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_494	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_545	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_580	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_659	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_684	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_721	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_851	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_8649	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_911	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_915	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_9585	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_981	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_982	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_10412	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_1063	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_1101	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_11193	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_1385	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_1814	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_1917	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_229	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_2729	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_2902	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_3180	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_3533	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_3534	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_3630	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_378	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_3820	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_3927	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_413	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_4843	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_4973	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_551	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_5620	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_5692	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_632	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_6685	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_840	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_934	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_958	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_345	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_1373	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
prokASV_129	Flavobacteriales	Other	Bacteroidetes	Flavobacteriales
